AOR Filepath,Target Coordinates
/data1/phot_cal/spitzer/taurus/r3964160,04 34 13.4 +22 51 13
/data1/phot_cal/spitzer/taurus/r3964160,04 34 18.1 +22 44 27
/data1/phot_cal/spitzer/taurus/r3964160,04 33 52.5 +22 50 36
/data1/phot_cal/spitzer/taurus/r3964160,04 33 56.9 +22 43 43
/data1/phot_cal/spitzer/taurus/r3964160,04 33 16.2 +22 53 23
/data1/phot_cal/spitzer/taurus/r3964160,04 33 21.7 +22 46 31
/data1/phot_cal/spitzer/taurus/r3964160,04 33 19.1 +22 46 36
/data1/phot_cal/spitzer/taurus/r3964160,04 33 24.2 +22 39 46
/data1/phot_cal/spitzer/taurus/r3964160,04 32 49.2 +22 53 01
/data1/phot_cal/spitzer/taurus/r3964160,04 32 54.0 +22 46 13
/data1/phot_cal/spitzer/taurus/r3964160,04 32 32.6 +22 57 23
/data1/phot_cal/spitzer/taurus/r3964160,04 32 36.8 +22 50 51
/data1/phot_cal/spitzer/taurus/r3964416,04 30 50.4 +22 59 57
/data1/phot_cal/spitzer/taurus/r3964416,04 30 54.9 +22 53 31
/data1/phot_cal/spitzer/taurus/r3964416,04 35 40.7 +24 11 05
/data1/phot_cal/spitzer/taurus/r3964416,04 35 45.4 +24 04 28
/data1/phot_cal/spitzer/taurus/r3964416,04 35 36.0 +24 08 12
/data1/phot_cal/spitzer/taurus/r3964416,04 35 39.9 +24 01 44
/data1/phot_cal/spitzer/taurus/r3964416,04 35 27.7 +24 14 57
/data1/phot_cal/spitzer/taurus/r3964416,04 35 31.5 +24 08 18
/data1/phot_cal/spitzer/taurus/r3964416,04 34 55.7 +24 29 00
/data1/phot_cal/spitzer/taurus/r3964416,04 35 00.0 +24 22 11
/data1/phot_cal/spitzer/taurus/r3964416,04 33 06.4 +24 09 30
/data1/phot_cal/spitzer/taurus/r3964416,04 33 10.5 +24 02 52
/data1/phot_cal/spitzer/taurus/r3964416,04 33 10.1 +24 33 43
/data1/phot_cal/spitzer/taurus/r3964416,04 33 14.4 +24 26 57
/data1/phot_cal/spitzer/taurus/r3964416,04 33 34.5 +24 21 03
/data1/phot_cal/spitzer/taurus/r3964416,04 33 39.3 +24 14 19
/data1/phot_cal/spitzer/taurus/r3964416,04 33 02.4 +24 21 06
/data1/phot_cal/spitzer/taurus/r3964416,04 33 06.7 +24 14 13
/data1/phot_cal/spitzer/taurus/r3964416,04 32 31.9 +24 19 58
/data1/phot_cal/spitzer/taurus/r3964416,04 32 36.7 +24 13 15
/data1/phot_cal/spitzer/taurus/r3964416,04 32 15.7 +24 28 58
/data1/phot_cal/spitzer/taurus/r3964416,04 32 20.0 +24 22 18
/data1/phot_cal/spitzer/taurus/r3964416,04 32 18.7 +24 22 26
/data1/phot_cal/spitzer/taurus/r3964416,04 32 22.9 +24 15 44
/data1/phot_cal/spitzer/taurus/r3964416,04 31 50.5 +24 24 19
/data1/phot_cal/spitzer/taurus/r3964416,04 31 55.9 +24 17 31
/data1/phot_cal/spitzer/taurus/r3964416,04 31 23.9 +24 10 49
/data1/phot_cal/spitzer/taurus/r3964416,04 31 28.1 +24 04 11
/data1/phot_cal/spitzer/taurus/r3964416,04 30 29.8 +24 26 43
/data1/phot_cal/spitzer/taurus/r3964416,04 30 34.4 +24 19 55
/data1/phot_cal/spitzer/taurus/r3965952,04 22 00.1 +19 32 02
/data1/phot_cal/spitzer/taurus/r3965952,04 22 05.0 +19 25 33
/data1/phot_cal/spitzer/taurus/r3965952,04 21 43.0 +19 34 14
/data1/phot_cal/spitzer/taurus/r3965952,04 21 49.5 +19 27 29
/data1/phot_cal/spitzer/taurus/r3966976,04 04 43.6 +26 18 52
/data1/phot_cal/spitzer/taurus/r3966976,04 04 48.6 +26 12 23
/data1/phot_cal/spitzer/taurus/r3966976,04 03 50.7 +26 10 56
/data1/phot_cal/spitzer/taurus/r3966976,04 03 57.4 +26 04 10
/data1/phot_cal/spitzer/taurus/r3966976,04 03 14.1 +25 52 58
/data1/phot_cal/spitzer/taurus/r3966976,04 03 20.1 +25 46 23
/data1/phot_cal/spitzer/taurus/r4912896,04 10 55.7 +25 05 43
