AOR Filepath,Target Coordinates
/data1/phot_cal/spitzer/michaela/r40473856,23 10 27.2374579520 +43 32 38.433649106
/data1/phot_cal/spitzer/michaela/r40474112,22 31 18.3282619654 -06 33 19.068890370
/data1/phot_cal/spitzer/michaela/r40474368,22 03 10.7729598762 +18 53 03.548248479
/data1/phot_cal/spitzer/michaela/r40474624,03 55 16.1314636284 -12 05 56.729555672
/data1/phot_cal/spitzer/michaela/r40474880,05 28 26.0954741443 -03 29 58.396897793
/data1/phot_cal/spitzer/michaela/r40475136,01 29 04.8969453153 +21 43 23.402553896
/data1/phot_cal/spitzer/michaela/r40475392,00 04 53.7246874433 +34 39 34.801234025
/data1/phot_cal/spitzer/michaela/r40475648,14 50 15.81061 +23 54 42.6412
/data1/phot_cal/spitzer/michaela/r40475904,13 37 23.4793374107 -46 25 40.408656381
/data1/phot_cal/spitzer/michaela/r40476160,03 17 40.0466570902 +31 07 37.358433303
/data1/phot_cal/spitzer/michaela/r40476416,21 48 00.0457107908 -40 15 21.895169628
/data1/phot_cal/spitzer/michaela/r40476672,20 06 21.7674289928 +35 58 20.887464451
