,AORKEY,Original Flux (mJy),2_2_6 Flux (mJy),Systematics Flux (mJy),bcd1 Flux (mJy),bcd32 Flux (mJy),bcd64 Flux (mJy),5_5_10 Flux (mJy),Different Sky Subtraction Flux (mJy),"r5, medBCD Flux (mJy)",Original Spread (%),2_2_6 Spread (%),Systematics Spread (%),bcd1 Spread (%),bcd32 Spread (%),bcd64 Spread (%),5_5_10 Spread (%),Different Sky Subtraction Spread (%),"r5, medBCD Spread (%)"
762,40727808,631.362786384,558.160285706,708.356481841,625.600744345,635.868734729,617.05688084,576.580526149,598.985589549,576.381497192,2.29299461919,1.58374600873,2.58867741271,4.40469119533,2.52247224692,1.47066092986,2.12518072026,1.91420858398,2.1584276346
763,40728064,6875.87884317,6501.67691551,7128.35927009,6880.51373826,6827.00424387,6828.16827705,6695.55352247,6796.51077418,6680.0564798,0.791311022406,1.10678957096,1.56850707398,1.08324189806,5.5079519139,0.581262045652,0.513670303412,0.714455323323,0.140630571653
764,40728320,5696.59823546,5304.37745861,5912.76200595,5815.70414647,5678.96446456,5675.77332767,5502.45120603,5636.76901213,5541.29726497,1.2365687289,1.30479749234,1.17311815397,1.23560736248,1.29989337709,1.15137527303,0.995647423012,1.22616340817,1.1110327295
765,40728576,1202.42920443,1027.84442288,1246.65809356,1178.34182491,1187.34359499,1194.31702223,1072.67020843,1154.64351459,1083.27935836,4.35437442565,1.30793559665,4.45515594764,5.55449017088,4.57296480546,2.747876291,1.30539153945,3.1781135044,2.60983242683
766,40729600,2233.65384924,2010.26295473,2321.182304,2293.12031093,2217.8748069,2200.99834379,2100.41710923,2201.17706188,2113.44316991,1.30165325692,1.1479503876,2.15842023982,2.7738641997,4.592486788,2.21640642605,0.847981309683,0.951772412335,2.18820034859
767,40729856,795.624853502,703.764109286,826.290055008,810.15763813,797.30719606,786.34917936,733.50583841,771.041590036,743.118984029,3.03997878684,0.812265217523,2.92259568268,2.98805595876,3.66960381543,3.74929942803,1.09322589412,2.41618124923,1.03870579179
768,40730112,5443.40186296,5150.29384148,5645.76650834,5270.50395257,5383.03594134,5441.66639424,5308.4263694,5381.90324096,5232.2422715,1.40737326359,1.02007304551,0.962936637671,0.420554944835,1.78429676552,1.46283096109,1.35502606297,1.5387759052,0.964264168778
769,40730624,2523.50049116,2287.31289833,2621.40350143,2598.72887055,2496.71524738,2508.43772933,2379.51396147,2488.88877121,2369.70120904,0.65834166034,0.878978903159,0.910622814533,2.84627383287,1.88809683092,0.689713457479,1.28595692283,1.27270095358,0.735248447763
770,40731136,1261.93664936,1064.71290892,1307.29591473,1296.82622387,1338.14083954,1254.39790088,1113.22267715,1187.14307279,1124.28934401,3.63522804589,1.53024955769,3.44325832961,2.6500062886,9.21864037422,3.55195128012,1.20806421407,2.88397735133,2.34298279884
771,40731392,2512.30524491,2300.15033544,2608.99137814,2492.85356629,2530.25932798,2594.42945059,2381.6017463,2480.27711423,2371.88796903,1.26344487004,1.32490559137,1.81016392338,5.64980561108,1.68698038172,3.05428741068,0.749094504617,0.867892248969,0.8534628899
772,40731648,11792.9561559,11251.6682091,2608.99137814,12724.0341346,12909.8277871,12621.6264042,11521.3752532,11633.214845,12667.1831231,7.5906720587,8.24696443771,1.81016392338,0.562518109981,0.737371949007,0.0,7.77056751143,7.3544712049,2.05557793321
773,40732416,5871.87692686,5490.62784255,2608.99137814,5822.53985924,5814.47566633,5907.31415253,5699.01250727,5788.85515261,5767.03629322,2.82486802352,4.47426022725,1.81016392338,3.02202333587,0.307459161716,1.85795853817,3.80516470148,2.51098233536,1.38850528413
774,40732672,910.221348744,782.654412571,944.449509154,930.888372613,884.541893451,881.782069829,811.587861907,849.149731996,810.744073993,6.01322784191,1.80334942416,6.38890500202,11.4226373742,10.0523116705,11.254636104,2.26624988863,4.35696036988,2.80794623636
775,40732928,3735.88818958,3397.89725181,944.449509154,3746.56443447,3735.86284182,3630.08673861,3535.08165448,3560.22631052,3534.99062992,0.0,0.0,6.38890500202,0.0,0.0,0.0,0.0,0.0,0.0
776,40733952,3814.13243914,3486.20288198,3958.12185723,3773.02744389,3873.67499703,3798.28248083,3625.69459753,3769.21745515,3588.02024895,1.30952401708,0.891553189342,1.15996287402,2.78829433057,2.72414449099,1.3181580982,1.25601270584,1.88198475187,0.0463338522966
777,40734720,2051.4187712,1897.59120103,2127.69988293,2000.1642268,2025.67803519,2063.95955914,1947.59204321,1978.45297468,1932.41027991,2.01737367257,1.56188988559,1.84123956334,4.99466330938,4.87146178552,2.96187754064,1.79198439967,1.50924029611,1.37378575875
778,40734976,1706.52125446,1527.96562314,1765.72940121,1673.51655806,1684.19628024,1672.73040302,1581.38925181,1635.27267142,1567.12694037,2.37911652597,0.246306271095,2.62809911403,4.49612035387,2.36662666892,4.99041782092,0.934307671619,1.45799592403,0.878124428089
779,40735232,9148.14427433,8567.68694671,1765.72940121,8903.35267417,8945.20275759,8849.9687987,8914.09676771,9045.6661809,8694.8550306,0.981057092604,1.47455298019,2.62809911403,1.54508919884,1.03127541745,0.546667937799,1.06312037702,1.12833116614,0.7220080427
780,40735744,1971.62975651,1810.50652461,2043.3777844,1969.94005859,1969.02647385,1940.22983503,1866.27861516,1880.37737956,1846.72705727,1.14047738431,1.25057473577,1.34397484055,3.9819258978,2.75322810201,3.3393491551,1.43352307422,1.86091628294,0.659693526312
781,40736000,1820.25237952,1646.63259539,1891.84316258,1890.1205255,1766.74268814,1804.02900244,1701.96545185,1750.05050689,1687.23149556,2.18725917396,1.29836983443,1.8822013602,3.78252438545,5.73158427519,2.3641342061,1.13949928489,0.998033728781,1.80242192933
782,40737024,2418.31151398,2198.19152109,2512.00402558,2375.73328416,2460.32474791,2409.40141954,2279.31285236,2352.28933727,2300.2427134,3.08871380471,2.00008823135,3.16873463827,3.1549086844,3.50738826564,1.80512837235,1.54254832174,1.68691355975,1.35539509043
783,40737280,962.852906165,819.674331731,2512.00402558,945.181361497,956.301639861,912.033876375,849.025726865,905.386223179,852.08184791,2.91565609641,0.272122725267,3.16873463827,0.338051630209,6.39986930369,11.9925620854,0.332771727754,2.40263297975,0.4406234524
784,40738048,8782.27368062,8176.36971169,2512.00402558,8771.89426767,8796.55081977,8704.71210175,8525.08349088,8726.46962327,8516.63484161,0.808337285488,1.84239108524,3.16873463827,0.00987796093116,0.0,1.36363215341,1.12525645276,0.909205999169,1.29063505959
