AORKEY,Target Coordinates,DateObs,Mission,Read Mode,Workable/Total Files in AOR,Cycling DPattern,DScale,DPosition,FTime (sec),Time (MJD),Flux (mJy),Error (mJy),Spread (%),Outliers Rejected
28477696,"270.62808754,  58.627265",2008-10-28T02:27:33.998,CRYO,FULL,5/10,NO,large,4,0.4,54767.1024768,640.3126939490613,3.5772724506201676,0.5586758601579044,0
28778240,"270.62808754,  58.627265",2008-12-18T09:41:47.307,CRYO,FULL,5/10,NO,large,5,0.4,54818.4040198,643.5163049749005,4.513698024706957,0.701411602132289,0
28781312,"270.62808754,  58.627265",2008-12-25T07:57:19.397,CRYO,FULL,5/10,NO,large,4,0.4,54825.3314745,637.9225999049092,7.231533102305308,1.1336066637838607,0
28821760,"270.62808754,  58.627265",2008-12-13T16:43:05.851,CRYO,FULL,5/10,NO,--,--,0.4,54813.6965955,633.8745641228481,5.377002546708641,0.8482754871461525,0
28891648,"270.62808754,  58.627265",2009-01-09T20:39:22.197,CRYO,FULL,5/10,NO,--,--,0.4,54840.8606736,637.5770928293791,2.6512531947678957,0.41583256747861125,0
28896256,"270.62808754,  58.627265",2009-01-17T19:09:59.935,CRYO,FULL,5/10,NO,--,--,0.4,54848.7986104,637.9796552157856,2.8513049939937094,0.4469272602477119,0
28899840,"270.62808754,  58.627265",2009-01-25T05:28:55.039,CRYO,FULL,4/10,NO,large,4,0.4,54856.2284148,640.7791831720776,7.031901295611956,1.0973985235914847,0
28902144,"270.62808754,  58.627265",2009-02-05T08:55:46.391,CRYO,FULL,5/10,NO,large,3,0.4,54867.3720647,639.0868068294814,3.4309846796551984,0.5368573788397168,0
29847040,"270.62808754,  58.627265",2009-03-10T05:12:19.428,CRYO,FULL,5/10,NO,large,3,0.4,54900.2168915,638.0285467867623,6.926730124381327,1.0856458005312941,0
29847296,"270.62808754,  58.627265",2009-03-23T00:47:53.566,CRYO,FULL,5/10,NO,large,4,0.4,54913.0332589,635.5722802387913,3.7582576036888415,0.5913186777555535,0
8739584,"270.62808754,  58.627265",2004-01-09T00:36:43.735,CRYO,FULL,5/10,NO,--,--,0.4,53013.0255062,638.8409099025564,7.186198298037282,1.1248807311249691,0
8739840,"270.62808754,  58.627265",2004-01-21T00:53:39.654,CRYO,FULL,5/10,NO,--,--,0.4,53025.0372645,641.1626123418449,2.300647679471476,0.3588243661102393,0
8893696,"270.62808754,  58.627265",2004-02-19T19:27:23.202,CRYO,FULL,5/10,NO,--,--,0.4,53054.8106852,638.6871021380923,4.669120899508078,0.7310498182721333,0
8893952,"270.62808754,  58.627265",2004-02-08T21:11:41.943,CRYO,FULL,5/10,NO,--,--,0.4,53043.8831243,641.8234564591282,2.9650654099206455,0.46197523323291984,0
9147392,"270.62808754,  58.627265",2004-03-06T01:20:26.180,CRYO,FULL,5/10,NO,--,--,0.4,53070.0558586,641.9394961764594,3.678243053451681,0.5729890550994525,0
9147648,"270.62808754,  58.627265",2004-03-13T20:45:34.771,CRYO,FULL,5/10,NO,--,--,0.4,53077.8649858,640.5050348855165,2.4062080824112675,0.37567356247891975,0
9386752,"270.62808754,  58.627265",2004-03-28T00:30:22.457,CRYO,FULL,5/10,NO,--,--,0.4,53092.0210933,642.9075173011406,5.499563795994716,0.8554206706248072,0
9387008,"270.62808754,  58.627265",2004-04-05T19:30:29.343,CRYO,FULL,5/10,NO,--,--,0.4,53100.8128396,640.2641013167939,4.020366718799142,0.6279231820948086,0
9964544,"270.62808754,  58.627265",2004-06-28T22:48:47.007,CRYO,FULL,5/10,NO,--,--,0.4,53184.9505441,638.0245889431468,8.074635261246291,1.2655680362760764,0
9600512,"270.62808754,  58.627265",2004-05-01T13:44:53.681,CRYO,FULL,5/10,NO,--,--,0.4,53126.5728435,642.8755974778281,5.112080963440732,0.7951897666510884,0
9982976,"270.62808754,  58.627265",2004-07-07T18:30:50.382,CRYO,FULL,5/10,NO,--,--,0.4,53193.7714165,642.7561661874139,4.246366203202792,0.6606496252522364,0
9606656,"270.62808754,  58.627265",2004-04-20T10:22:02.485,CRYO,FULL,5/10,NO,--,--,0.4,53115.4319732,641.0299970200803,5.796781781167868,0.9042918128816184,0
9684224,"270.62808754,  58.627265",2004-05-16T11:55:00.160,CRYO,FULL,5/10,NO,--,--,0.4,53141.4965296,643.4981385298352,4.567706061037398,0.7098242850356933,0
9684736,"270.62808754,  58.627265",2004-05-27T18:14:21.591,CRYO,FULL,5/10,NO,--,--,0.4,53152.7599721,642.5380628249627,3.699919316393233,0.5758288155142567,0
9896704,"270.62808754,  58.627265",2004-06-09T00:23:02.574,CRYO,FULL,5/10,NO,--,--,0.4,53165.016002,640.5449334255933,6.256704443414802,0.9767783830486874,0
