AORKEY,DateObs,Cycling DPattern,DScale,DPosition,FTime (sec),Time (MJD),Flux (mJy),Error (mJy),Spread (%)
43289088,2012-05-17T12:48:26.734,NO,large,5,2.0,56064.5336428,38.147709601403456,1.057793244293494,2.772887954076744
43289344,2012-09-07T11:42:27.849,NO,large,5,2.0,56177.4878223,39.32071824861155,0.6465616038530902,1.644328060756929
43289600,2012-09-04T06:30:48.520,NO,large,5,2.0,56174.2713949,38.30945452855131,0.38588842412213425,1.0072929225200502
43289856,2012-09-01T09:22:51.148,NO,large,5,2.0,56171.3908698,38.88589949841068,0.5390108828626061,1.386134536722331
43290112,2012-08-29T14:46:15.280,NO,large,5,2.0,56168.6154546,39.179334702310996,0.9024164464140995,2.3032970142825584
43290368,2012-08-27T00:39:28.492,NO,large,5,2.0,56166.0274131,39.225366920258054,0.33169621633584856,0.8456166057290418
43290624,2012-08-23T15:04:30.471,NO,large,5,2.0,56162.6281304,38.05369072618556,0.9903238529271916,2.602438381215225
43290880,2012-08-20T17:31:24.305,NO,large,5,2.0,56159.7301424,39.022393605600534,0.6076803551625665,1.557260585561188
43291136,2011-10-25T02:13:14.261,NO,large,5,2.0,55859.0925262,39.27907751340329,1.153917833549132,2.937741684883964
43291392,2012-08-18T01:32:11.392,NO,large,5,2.0,56157.0640207,39.619555674106756,0.5209054158514668,1.3147684444929375
43291648,2011-10-21T20:01:17.857,NO,large,5,2.0,55855.8342345,42.78711253394042,6.74650347577164,15.767606356750639
