File#,Coord Conversion Issue,Centroiding Issue,Bad Center Guess,Not In FOV,Ap Out Of Bound,Xc,Yc,Fx,Fy,Time[MJD],Raw_Flux,Bkg_Flux,Res_Flux
20,Y,N,N,N,N,nan,nan,nan,nan,53819.0734995,nan,nan,nan
21,Y,N,N,N,N,nan,nan,nan,nan,53819.0757667,nan,nan,nan
22,Y,N,N,N,N,nan,nan,nan,nan,53819.0782701,nan,nan,nan
23,Y,N,N,N,N,nan,nan,nan,nan,53819.0761347,nan,nan,nan
24,Y,N,N,N,N,nan,nan,nan,nan,53819.0787831,nan,nan,nan
25,Y,N,N,N,N,nan,nan,nan,nan,53819.0791513,nan,nan,nan
26,Y,N,N,N,N,nan,nan,nan,nan,53819.0786604,nan,nan,nan
27,N,N,N,N,N,20.849514837021392,10.857446260898481,1.3349565597655773,1.562527537145236,53819.0706372,10571.267086861182,271.2137157885082,10300.053371072674
28,N,N,N,N,Y,15.778376243412064,8.064614809273278,1.7165788080348492,1.2682208957494712,53819.0707598,nan,nan,nan
29,N,N,N,N,Y,25.10002792933337,16.10379501609089,1.0457948885743904,1.4908310898698087,53819.0705154,nan,nan,nan
30,Y,N,N,N,N,nan,nan,nan,nan,53819.0730091,nan,nan,nan
31,Y,N,N,N,N,nan,nan,nan,nan,53819.0732541,nan,nan,nan
32,Y,N,N,N,N,nan,nan,nan,nan,53819.0755216,nan,nan,nan
33,Y,N,N,N,N,nan,nan,nan,nan,53819.0762575,nan,nan,nan
34,Y,N,N,N,N,nan,nan,nan,nan,53819.0758896,nan,nan,nan
35,Y,N,N,N,N,nan,nan,nan,nan,53819.075644,nan,nan,nan
36,Y,N,N,N,N,nan,nan,nan,nan,53819.0790282,nan,nan,nan
1,N,N,N,N,N,20.999957649764095,19.9793833637135,1.4901984915918278,1.046054402884789,53819.1050897,9013.545498017735,428.37465365842155,8585.170844359312
2,N,N,N,N,Y,8.332225699662494,17.197791026203582,1.57409091338018,1.6412193434706432,53819.104722,nan,nan,nan
3,N,N,N,N,Y,15.181867732792483,22.2403625672209,1.5337636882802654,1.2336696757376249,53819.1049671,nan,nan,nan
4,Y,N,N,N,N,nan,nan,nan,nan,53819.1074659,nan,nan,nan
5,Y,N,N,N,N,nan,nan,nan,nan,53819.1079575,nan,nan,nan
6,Y,N,N,N,N,nan,nan,nan,nan,53819.108202,nan,nan,nan
7,Y,N,N,N,N,nan,nan,nan,nan,53819.1101882,nan,nan,nan
8,N,N,N,N,Y,8.864537295482526,12.725177257849793,1.5565977401543512,1.5743211283444811,53819.1045989,nan,nan,nan
9,Y,N,N,N,N,nan,nan,nan,nan,53819.1071974,nan,nan,nan
10,N,N,N,N,Y,10.789376800309396,7.168392407649901,1.792337305092269,1.5047704417620487,53819.1044533,nan,nan,nan
11,Y,N,N,N,N,nan,nan,nan,nan,53819.1073443,nan,nan,nan
12,Y,N,N,N,N,nan,nan,nan,nan,53819.1075884,nan,nan,nan
13,Y,N,N,N,N,nan,nan,nan,nan,53819.1105561,nan,nan,nan
14,Y,N,N,N,N,nan,nan,nan,nan,53819.1108015,nan,nan,nan
15,N,N,N,N,Y,24.764944561463405,15.946363601109567,1.3214277841914974,1.6557825212693627,53819.1052125,nan,nan,nan
16,Y,N,N,N,N,nan,nan,nan,nan,53819.1078339,nan,nan,nan
17,Y,N,N,N,N,nan,nan,nan,nan,53819.1100423,nan,nan,nan
18,Y,N,N,N,N,nan,nan,nan,nan,53819.1106787,nan,nan,nan
19,Y,N,N,N,N,nan,nan,nan,nan,53819.110311,nan,nan,nan
20,Y,N,N,N,N,nan,nan,nan,nan,53819.1110478,nan,nan,nan
21,Y,N,N,N,N,nan,nan,nan,nan,53819.1109241,nan,nan,nan
22,N,N,N,N,Y,10.433406061840442,23.81690094846819,1.459993081085294,1.8174770560702085,53819.1048443,nan,nan,nan
23,N,N,N,N,N,20.243760105149963,10.579649372600867,1.7722097223628637,1.4437259501649655,53819.1053352,9168.117265907998,281.13973483395444,8886.977531074044
24,N,N,N,N,Y,15.184934707217822,7.896046293857403,1.3710731077508296,1.1351932486894496,53819.1054579,nan,nan,nan
25,Y,N,N,N,N,nan,nan,nan,nan,53819.1077113,nan,nan,nan
26,Y,N,N,N,N,nan,nan,nan,nan,53819.1080792,nan,nan,nan
27,Y,N,N,N,N,nan,nan,nan,nan,53819.1104389,nan,nan,nan
1,N,N,N,N,Y,8.869590220716407,11.95616860830523,1.2451413824914168,1.4454885350338862,53606.2488978,nan,nan,nan
2,N,N,N,N,Y,20.185848644219988,9.952137676933017,1.435371181393765,1.091496340764152,53606.249634,nan,nan,nan
3,N,N,N,N,Y,15.169517676117295,7.146225233747893,1.1389336634755527,1.4789946010253099,53606.2497568,nan,nan,nan
4,N,N,N,N,N,20.976666034488666,19.18880209110357,1.2498407759534353,1.614583837291178,53606.2493886,197110.86883305002,3888.1950189933305,193222.67381405667
5,N,N,N,N,Y,10.32891904674517,23.01381897859342,1.2642143463058062,1.479661858153398,53606.2491432,nan,nan,nan
6,N,N,N,N,Y,10.978718799885574,6.594607917640269,1.732154783653385,1.4116018315713277,53606.2487521,nan,nan,nan
7,N,N,N,N,Y,8.325010093089071,16.72859665245604,1.6388376656109918,1.5648160831824907,53606.2490206,nan,nan,nan
8,N,N,N,N,Y,24.67059254938782,15.119072233614766,1.4141374325832547,1.8173803007432114,53606.2495114,nan,nan,nan
9,N,N,N,N,N,15.124808188030443,21.73455879060657,1.274729802658887,1.3977041848950997,53606.249267,193099.86274957072,3698.089226298472,189401.77352327225
1,N,N,N,N,Y,10.19127168501879,23.176149655773344,1.1803714081722063,1.4624979897467434,53606.0439992,nan,nan,nan
2,N,N,N,N,Y,8.14508446123669,16.886327097422654,1.3405393697288248,1.1054740784934944,53606.0438766,nan,nan,nan
3,N,N,N,N,N,15.005149331094122,21.901560647132463,1.4270653747402704,1.0866677638115776,53606.0441223,196951.69832917972,3877.5735544102768,193074.12477476944
4,N,N,N,N,Y,8.496981179212076,12.107744895282076,1.7642308719465147,1.4028739480833397,53606.0437538,nan,nan,nan
5,N,N,N,N,Y,10.475725962455465,6.929422120022882,1.7884377865280578,1.3212767216055044,53606.0436079,nan,nan,nan
6,N,N,N,N,N,20.826063874925946,19.457483057625378,1.660180029860917,1.887155161952005,53606.0442444,198064.29750624852,3809.097849663085,194255.19965658544
7,N,N,N,N,Y,15.03825116121195,7.356724522248586,1.3137791744890253,1.740165396062547,53606.0446125,nan,nan,nan
8,N,N,N,N,Y,24.321297124285945,15.33124353268535,1.8250242118238351,1.6115050145738035,53606.0443672,nan,nan,nan
9,N,N,N,N,N,20.080694788930128,10.068177905972236,1.0113977935835563,1.5206245417452622,53606.04449,197139.8481934113,3856.3105961511224,193283.53759726018
1,N,N,N,N,Y,10.991576814306516,6.524069075901512,1.7970721211157665,1.388682608159508,53606.230327,nan,nan,nan
2,N,N,N,N,N,21.058550579938114,19.201466954336382,1.569873097602003,1.1712202842991275,53606.2309606,175606.8596642523,2714.1325843122004,172892.7270799401
3,N,N,N,N,Y,8.95963953161684,11.949401969902581,1.463212135284453,1.0889817788010148,53606.2304705,nan,nan,nan
4,N,N,N,N,Y,10.56004246185765,22.992523958365126,1.2989730138795426,1.7670302937648303,53606.230715,nan,nan,nan
5,N,N,N,N,Y,24.87109031362123,15.121763027880704,1.669956157577494,1.2858177264130528,53606.2310841,nan,nan,nan
6,N,N,N,N,Y,20.269659077306063,9.927215267796937,1.2707338982577114,1.400891811416163,53606.2312058,nan,nan,nan
7,N,N,N,N,N,15.194844557371782,21.733621337398304,1.3429269671317343,1.4553007537249663,53606.2308378,172585.6211260773,3128.2563021593937,169457.36482391792
8,N,N,N,N,Y,8.601433795474257,16.711603232369434,1.9369274683379571,1.6576653215787396,53606.2305923,nan,nan,nan
9,N,N,N,N,Y,15.24831895441958,7.121952942144815,1.444364685591167,1.231508181771888,53606.2313286,nan,nan,nan
1,N,N,N,N,N,20.330501046024,10.051925401855522,1.4811298466274412,1.2758127664846706,53606.2699151,77272.42855583856,1450.0812920248495,75822.34726381372
2,N,N,N,N,Y,9.000385520214857,12.132090877489667,1.1234473459106866,1.5972913695459028,53606.2691779,nan,nan,nan
3,N,N,N,N,Y,10.684916374717282,23.13868658991686,1.4222672439867738,1.7952253319124978,53606.2694231,nan,nan,nan
4,N,N,N,N,Y,15.296796491037819,7.378274157784354,1.5515486020237592,1.8387065502085136,53606.2700367,nan,nan,nan
5,N,N,N,N,Y,8.628701210543053,16.92890389334216,1.7774873404405478,1.3166679783458233,53606.2693014,nan,nan,nan
6,N,N,N,N,N,21.080068317742338,19.506177865423496,1.2904613442579398,1.7439449661358413,53606.2696686,77787.97464144885,1704.3202634088098,76083.65437804004
7,N,N,N,N,N,15.25455972067988,21.921112548217742,1.2545668327444102,1.354807287364042,53606.2695461,78126.80190683558,1625.6749503664582,76501.12695646912
8,N,N,N,N,Y,10.94958107461092,6.915473466544266,1.1489297299382921,1.4028286598123247,53606.2690321,nan,nan,nan
9,N,N,N,N,Y,24.95263684210186,15.334160148775618,1.423414920543913,1.8081289442376571,53606.2697915,nan,nan,nan
1,N,N,N,N,N,15.114481659863339,21.70616765916361,1.2765236669393722,1.4575294165835782,53606.2419523,48515.18118990057,1281.084060354331,47234.09712954624
2,N,N,N,N,Y,10.301976823722507,22.99746516942838,1.4326588412244725,1.2541237627659378,53606.24183,nan,nan,nan
3,N,N,N,N,Y,24.650877300969963,15.090537227733549,1.3669756097189465,1.7989238727761128,53606.2421977,nan,nan,nan
4,N,N,N,N,Y,15.151475931868013,7.12257822198706,1.4796940890580215,1.0821273911430604,53606.2424433,nan,nan,nan
5,N,N,N,N,Y,10.868265104658331,6.671757506782211,1.70851209843044,1.5953077735144099,53606.2414383,nan,nan,nan
6,N,N,N,N,Y,20.171457456658054,9.928353672192964,1.4363536487204749,1.0998710499075033,53606.2423205,nan,nan,nan
7,N,N,N,N,Y,8.788782019533333,11.955761650826092,1.5689351320534837,1.2923736252760476,53606.2415846,nan,nan,nan
8,N,N,N,N,Y,8.290120115065106,16.707045385006488,1.5978248875057612,1.5383057809323617,53606.2417068,nan,nan,nan
9,N,N,N,N,N,20.97362868056353,19.149253733367367,1.6159550539288299,1.1797533064007186,53606.2420749,49490.49937836864,1092.4558065832273,48398.04357178541
1,N,N,N,N,N,20.918061369076632,19.286302789453504,1.7271572153984365,1.4350771562931288,53605.9968526,26313.335870645282,436.1912461162603,25877.14462452902
2,N,N,N,N,N,20.122811158916853,10.008817459752922,1.4856865367954513,0.9889355112894506,53605.9970977,26099.54374557942,407.8048670322288,25691.738878547192
3,Y,N,N,N,N,nan,nan,nan,nan,53605.9989496,nan,nan,nan
4,Y,N,N,N,N,nan,nan,nan,nan,53605.9993408,nan,nan,nan
5,Y,N,N,N,N,nan,nan,nan,nan,53605.9997089,nan,nan,nan
6,Y,N,N,N,N,nan,nan,nan,nan,53605.9999542,nan,nan,nan
7,N,N,N,N,Y,8.221757815837117,16.82336025202594,1.2813659321474469,1.3676675292390281,53605.9964843,nan,nan,nan
8,N,N,N,N,Y,24.49230959886992,15.171171770574224,1.830491577016255,1.552656346233274,53605.996976,nan,nan,nan
9,N,N,N,N,Y,15.080178288452364,7.210219525112626,1.5979712430083615,1.166058578503231,53605.9972205,nan,nan,nan
10,Y,N,N,N,N,nan,nan,nan,nan,53605.9995864,nan,nan,nan
11,Y,N,N,N,N,nan,nan,nan,nan,53605.9998314,nan,nan,nan
12,N,N,N,N,Y,10.896865215817137,6.750282105797018,1.4765427309582975,1.5476216346319558,53605.9962164,nan,nan,nan
13,N,N,N,N,N,15.07262983550299,21.80833301150354,1.3379063807972662,1.172434250548206,53605.9967297,25622.534917321795,653.7722239989347,24968.76269332286
14,Y,N,N,N,N,nan,nan,nan,nan,53605.9992181,nan,nan,nan
15,Y,N,N,N,N,nan,nan,nan,nan,53605.9994644,nan,nan,nan
16,N,N,N,N,Y,10.240398174306865,23.083313470639393,1.1446738308537672,1.4115727952989117,53605.9966071,nan,nan,nan
17,N,N,N,N,Y,8.743997265586923,12.039677243003469,1.293850621821518,1.6463805390371322,53605.9963627,nan,nan,nan
18,Y,N,N,N,N,nan,nan,nan,nan,53605.9990955,nan,nan,nan
1,N,N,N,N,Y,10.968145559492385,6.988267877196978,1.0524683153705596,1.5265257470185463,53606.0044961,nan,nan,nan
2,N,N,N,N,N,20.333178270702053,10.075995577771906,1.5058415305392516,1.3144463882720472,53606.0053788,24849.29762776477,443.02308417272224,24406.274543592048
3,N,N,N,N,Y,15.290900311112878,7.4338831973201245,1.561494665630092,1.861514731461175,53606.0055005,nan,nan,nan
4,N,N,N,N,Y,8.995280346673828,12.16615049111832,1.18314475735435,1.6108628130741385,53606.0046418,nan,nan,nan
5,N,N,N,N,N,15.238895552688197,21.963914434437374,1.3464775587317,1.2084279631234016,53606.0050099,25372.620674621216,557.1927724676848,24815.42790215353
6,N,N,N,N,N,21.07382888652944,19.54010078969223,1.7172997620662258,1.2887116096359637,53606.0051323,25263.303482523435,330.4583295452157,24932.84515297822
7,N,N,N,N,Y,24.936964583283224,15.43561909213577,1.4754521513683583,1.8619258578024311,53606.0052553,nan,nan,nan
